Name,State,Division,BodyweightLBS,WeightClassLBS,Age,Squat1LBS,Squat2LBS,Squat3LBS,Squat4LBS,Best3SquatLBS,Bench1LBS,Bench2LBS,Bench3LBS,Bench4LBS,Best3BenchLBS,Deadlift1LBS,Deadlift2LBS,Deadlift3LBS,Deadlift4LBS,Best3DeadliftLBS,TotalLBS,Place,Tested,Equipment,Event
Phil Deaton ,AL,Police & Fire,290.8,275+,53,226,275.6,308.6,,308.6,319.7,336.2,-352.7,,336.2,336.2,363.8,402.3,,402.3,1047.2,1,Yes,Wraps,SBD
Kraig Rye,MS,Police & Fire,198,198,59,-110.2,115.7,126.8,,126.8,-110.2,121.3,137.8,,137.8,159.8,203.9,242.5,,242.5,507.1,2,Yes,Wraps,SBD
Rebecca Claunch,TN,Master (50-59),178.4,181,52,176.4,-181.9,-181.9,,176.4,115.7,121.3,-104.7,,121.3,192.9,203.9,-209.4,,203.9,501.5,1,Yes,Wraps,SBD
Lindsey Haynes,TN,Submaster (33-39),153.6,165,34,-165.3,165.3,-176.4,,165.3,88.2,99.2,-104.7,,99.2,226,242.5,253.5,,253.5,518.1,1,Yes,Wraps,SBD
Sanjuana Ledbetter ,MS,Submaster (33-39),143,148,33,226,259,286.6,303.1,286.6,126.8,143.3,154.3,,154.3,270.1,297.6,325.2,330.7,325.2,766.1,1,Yes,Wraps,SBD
Danielle Brewer,TN,Open,237.2,198+,24,270.1,281.1,297.6,,297.6,121.3,132.3,-143.3,,132.3,303.1,314.2,325.2,,325.2,755.1,1,Yes,Multi-ply,SBD
Sanjuana Ledbetter,MS,Open,143,148,33,226,259,286.6,303.1,286.6,126.8,143.3,154.3,,154.3,270.1,297.6,325.2,330.7,325.2,766.1,1,Yes,Wraps,SBD
Lindsey Haynes ,TN,Open,153.6,165,34,-165.3,165.3,-176.4,,165.3,88.2,99.2,-104.7,,99.2,226,242.5,253.5,,253.5,518.1,1,Yes,Wraps,SBD
Erin Schrier,TN,Open,179.8,181,31,286.6,-303.1,-303.1,,286.6,165.3,176.4,-181.9,,176.4,325.2,-336.2,-336.2,,325.2,788.1,1,No,Wraps,SBD
Jayna Leitze,TN,Open,241.2,198+,30,203.9,237,253.5,,253.5,99.2,110.2,-126.8,,110.2,226,248,264.6,,264.6,611.8,1,Yes,Wraps,SBD
