25/06/2018,WPC POWER RAW-Kg Results,,,,,,,,,,,,,,,,,,,,,
Name,Age,Div,BWt (Kg),WtCls (Kg), Squat  1, Squat  2, Squat  3, Squat  4,,Bench 1,Bench 2,Bench 3,Bench 4,,Deadlift 1,Deadlift 2,Deadlift 3,,PL Total,Coeff Score,Age  & Coeff,Pl-Div-WtCl
LOPES Maria POR,58,F_M4_R_WPC,71.3,75,70,85,-100,,,40,47.5,-52.5,,,90,110,125,,257.5,222.81475,287.6538423,1-F_M4_R_WPC-75
MIRANDA Eunice POR,41,F_M1_R_WPC,85.3,90,160,175,190,,,120,132.5,137.5,-142.5,,165,190,-205,,517.5,398.914875,402.9040238,1-F_M1_R_WPC-90
ANCELIN Audrey FRA,23,F_J_R_WPC,51.3,52,95,100,102.5,,,-47.5,-47.5,47.5,,,110,117.5,127.5,,277.5,310.66125,0,1-F_J_R_WPC-52
JANNEAU Margot FRA,22,F_J_R_WPC,50.4,52,95,100,105,,,40,45,-47.5,,,115,120,125,,275,312.18,0,2-F_J_R_WPC-52
GALLERY-L Shanagh-L GB,20,F_J_R_WPC,51.1,52,70,-82.5,-82.5,,,37.5,40,45,,,95,105,-110,,220,247.06,0,3-F_J_R_WPC-52
BARLIER Gwendoline FRA,22,F_J_R_WPC,55.2,56,70,77.5,-80,,,40,45,-50,,,90,110,-130,,232.5,245.54325,0,1-F_J_R_WPC-56
PLATEL Maïlys FRA,16,F_T2_R_WPC,55.7,56,77.5,85,-87.5,,,40,-45,-45,,,100,-105,-105,,225,235.89,0,1-F_T2_R_WPC-56
COLLIAT Delphine FRA,24,F_O_R_WPC,46.2,48,75,85,-90,,,42.5,50,-52.5,,,130,140,145,,280,339.808,0,1-F_O_R_WPC-48
HALAS Malgorzata POL,31,F_O_R_WPC,59.9,60,140,145,150,,,107.5,112.5,117.5,121,,80,87.5,92.5,,360,356.004,0,1-F_O_R_WPC-60
FONTENEAU Camille FRA,24,F_O_R_WPC,71.9,75,110,117.5,125,,,60,65,-70,,,140,-150,150,,340,292.519,0,1-F_O_R_WPC-75
MORAIS Joaquim POR,60,M_M5_R_WPC,107.1,110,162.5,170,180,190,,140,150,152.5,155,,200,217.5,220,,552.5,313.239875,419.7414325,1-M_M5_R_WPC-110
BURLAKOV Aleksandr RUS,59,M_M4_R_WPC,113.9,125,190,200,-205,,,160,170,-175,,,190,200,205,,575,320.82125,421.8799438,1-M_M4_R_WPC-125
GOSIN Vladimir ISR,53,M_M3_R_WPC,91.3,100,200,210,-220,,,150,160,-165,,,260,270,-275,,640,388.544,460.036096,1-M_M3_R_WPC-100
TOMSIN Denis FRA,45,M_M2_R_WPC,74.7,75,180,192.5,-200,,,132.5,140,145,,,185,200,210,,547.5,378.1035,398.8991925,1-M_M2_R_WPC-75
TRIANCE Darryl GB master,41,M_M1_R_WPC,89.9,90,190,205,-212.5,,,-135,135,-145,,,240,-260,-260,,580,356.265,359.82765,1-M_M1_R_WPC-90
BARMAN Frédéric SWI master,41,M_M1_R_WPC,107.2,110,280,300,312.5,,,190,-200,-200,,,300,315,-330,,817.5,463.318125,467.9513063,1-M_M1_R_WPC-110
NJAMA Benjamin FRA,21,M_J_R_WPC,65.7,67.5,185,192.5,-200,,,105,110,115,,,230,-240,240,,547.5,419.385,0,"1-M_J_R_WPC-67,5"
RENAUD Pierre FRA,23,M_J_R_WPC,81.8,82.5,182.5,-192.5,-192.5,,,147.5,-155,-155,,,287.5,302.5,-315.5,,632.5,409.9865,0,"1-M_J_R_WPC-82,5"
MALO Roman FRA,21,M_J_R_WPC,78.9,82.5,160,170,180,,,110,-120,-120,,,170,200,220,,510,340.221,0,"2-M_J_R_WPC-82,5"
