CyrillicName,BodyweightKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,TotalKg,WeightClassKg,Event,Equipment,Tested,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Division,BirthDay,Age
Светлана Кумуц,48.30,67.5,72.5,-77.5,,72.50,52,B,Raw,Yes,,,,,,,,,Amateur Teen 18-19,18 - 19,
Анна Кошкина,50.50,52.5,-57.5,,,52.50,52,B,Raw,Yes,,,,,,,,,Amateur Open 20-23,20 - 23,
Мария Дюкова,51.60,50,55,57.5,,57.50,52,B,Raw,Yes,,,,,,,,,Amateur Open,1984-06-18,
Елена Шелепова,51.20,62.5,-67.5,,,62.50,52,B,Raw,Yes,,,,,,,,,Amateur Masters 40-44,40 - 44,
Юлия Долгорукова,55.40,57.5,60,-62.5,,60,56,B,Raw,Yes,,,,,,,,,Amateur Open,1979-11-28,
Анна Григорьева,73.50,55,60,62.5,,62.50,75,B,Raw,Yes,,,,,,,,,Amateur Open,1984-03-17,
Максим Ахияров,50.00,40,-50,-50,,40,52,B,Raw,Yes,,,,,,,,,Amateur Teen 13-19,13-15,
Константин Демиденко,55.50,70,75,-80,,75,56,B,Raw,Yes,,,,,,,,,Amateur Teen 16-17,16-17,
Иван Бутаков,59.10,75,80,-85,,80,60,B,Raw,Yes,,,,,,,,,Amateur Teen 16-17,16-17,
Марат Занахов,60.00,105,112.5,115,,115,60,B,Raw,Yes,,,,,,,,,Amateur Open 20-23,20 - 23,
Илья Шавкунов,57.70,80,82.5,-85,,82.50,60,B,Raw,Yes,,,,,,,,,Amateur Open 20-23,20 - 23,
Янис Калайчев,60.00,140,160,165,170,165,60,B,Raw,Yes,,,,,,,,,Amateur Open,1985-07-23,
Линар Хайруллин,59.80,107.5,110,112.5,,112.50,60,B,Raw,Yes,,,,,,,,,Amateur Open,1986-11-12,
Андрей Годовалов,65.40,120,125,-127.5,,125,67.5,B,Raw,Yes,,,,,,,,,Amateur Teen 16-17,16-17,
Артем Зеленин,64.30,102.5,107.5,-110,,107.50,67.5,B,Raw,Yes,,,,,,,,,Amateur Teen 16-17,16-17,
Евгений Аспидов,66.60,-130,132.5,135,,135,67.5,B,Raw,Yes,,,,,,,,,Amateur Teen 18-19,18 - 19,
Ренат Хабибуллин,65.80,-120,122.5,-125,,122.50,67.5,B,Raw,Yes,,,,,,,,,Amateur Teen 18-19,18 - 19,
Денис Яковлев,66.70,115,120,-125,,120,67.5,B,Raw,Yes,,,,,,,,,Amateur Open 20-23,20 - 23,
Александр Горкун,63.90,107.5,112.5,117.5,,117.50,67.5,B,Raw,Yes,,,,,,,,,Amateur Open 20-23,20 - 23,
Александр Горкун,63.90,107.5,112.5,,,112.50,67.5,B,Raw,Yes,,,,,,,,,Amateur Open 20-23,20 - 23,
Айвар Баймагамбетов,64.60,102.5,107.5,-110,,107.50,67.5,B,Raw,Yes,,,,,,,,,Amateur Open 20-23,20 - 23,
Алексей Соловей,67.00,-107.5,107.5,-110,,107.50,67.5,B,Raw,Yes,,,,,,,,,Amateur Open 20-23,20 - 23,
Илья Никитин,66.50,-115,125,130,,130,67.5,B,Raw,Yes,,,,,,,,,Amateur Open,1988-12-05,
Евгений Мельников,72.50,90,95,-100,,95,75,B,Raw,Yes,,,,,,,,,Amateur Teen 16-17,16-17,
Александр Кирьянов,72.80,95,-100,-100,,95,75,B,Raw,Yes,,,,,,,,,Amateur Teen 16-17,16-17,
Кирилл Михнюк,73.90,145,145,147.5,,147.50,75,B,Raw,Yes,,,,,,,,,Amateur Teen 18-19,18 - 19,
