Name,Division,WeightclassKg,Place,BodyweightKg,BirthYear,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event,Equipment
Sabrina Pauli,Youth,63,1,59.5,2002,85,95,102.5,102.5,102.5,D,Single-ply
Katja Haindl,Open,57,2,55.6,1994,87.5,95,102.5,102.5,102.5,D,Single-ply
Carina Schönhuber,Open,63,5,61.3,1992,85,95,105,105,105,D,Single-ply
Angelika Katzengruber,Open,72,6,71.8,1905,90,105,-112.5,105,105,D,Single-ply
Lennart Brandlmeier,Youth,83,3,80.3,2004,85,95,105,105,105,D,Single-ply
Daniela Kittl,Open,72,5,64.9,1994,100,110,-122.5,110,110,D,Single-ply
Anja Schreiner,Open,47,1,46.1,1993,110,117.5,,117.5,117.5,D,Single-ply
Amelie Schmidbauer,Open,63,4,61.5,1991,100,110,120,120,120,D,Single-ply
Eva Wolff,Open,72,4,71.2,1992,100,115,122.5,122.5,122.5,D,Single-ply
Michaela Lässer-Walt,Master 2,52,1,48.9,1967,115,120,125,125,125,D,Single-ply
Franziska Altschäffl,Juniors,72,5,65.6,1995,117.5,125,130,130,130,D,Single-ply
Alexander Diepold,Master 4,66,1,64.9,1937,125,132.5,-135,132.5,132.5,D,Single-ply
Petra Dietmayr,Master 2,72,1,71,1967,125,132.5,137.5,137.5,137.5,D,Single-ply
Janine Oser,Juniors,72,4,69.3,1995,127.5,142.5,-155,142.5,142.5,D,Single-ply
Annette Reif,Master 1,72,1,71.5,1974,130,137.5,142.5,142.5,142.5,D,Single-ply
Cathrin Kugler,Open,63,3,61,1989,135,-137.5,142.5,142.5,142.5,D,Single-ply
Sonja Graumann,Juniors,72,3,68.1,1996,120,135,145,145,145,D,Single-ply
Hannah Döhrmann,Open,84,2,75.6,1991,130,137.5,145,145,145,D,Single-ply
Heike Reichenauer,Open,84,1,73,1993,140,147.5,-152.5,147.5,147.5,D,Single-ply
Saskia Grandl,Open,84+,1,87.1,1987,132.5,142.5,147.5,147.5,147.5,D,Raw
Rosina Polster,Open,72,3,64.8,1984,140,150,-160,150,150,D,Single-ply
Manuela Hauß,Open,72,2,70.7,1980,132.5,142.5,152.5,152.5,152.5,D,Single-ply
Sandra Augustinok,Juniors,72,1,69.3,1999,140,152.5,157.5,157.5,157.5,D,Single-ply
Sofia Walter,Juniors,72,2,71.7,1996,140,152.5,157.5,157.5,157.5,D,Single-ply
Andrea Pauli,Open,72,1,68.3,1980,140,147.5,157.5,157.5,157.5,D,Single-ply
Susann Cichon,Open,57,1,56.6,1987,150,-160,160,160,160,D,Single-ply
Barbara Gapp,Open,63,2,61.2,1981,162.5,-177.5,-177.5,162.5,162.5,D,Single-ply
