Name,BirthDate,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Sex,Equipment,Event
Joseph Flynn,,MR-Sj,73.00,74,155.0,162.5,170.0,170.0,80.0,86.0,90.0,90.0,160.0,170.0,-180.0,170.0,430.0,1,M,Raw,SBD
Nathan Scott,,MR-Sj,76.90,83,160.0,170.0,180.0,180.0,87.5,90.0,95.0,95.0,180.0,192.5,202.5,202.5,477.5,1,M,Raw,SBD
Jamie Green,,MR-Sj,103.20,105,137.5,147.5,157.5,157.5,130.0,135.0,140.0,140.0,182.5,195.0,205.0,205.0,502.5,1,M,Raw,SBD
Samuel Gurajena,,MR-Jr,71.40,74,170.0,177.5,182.5,182.5,122.5,130.0,132.5,132.5,190.0,202.5,207.5,207.5,522.5,1,M,Raw,SBD
Alex Zhang,,MR-Jr,72.80,74,140.0,150.0,160.0,160.0,110.0,117.5,125.0,125.0,-185.0,185.0,200.0,200.0,485.0,2,M,Raw,SBD
Nathan Gevao,,MR-Jr,82.10,83,220.0,232.5,240.0,240.0,125.0,132.5,138.0,138.0,230.0,247.5,-255.0,247.5,625.5,1,M,Raw,SBD
Joshua Higgon,,MR-Jr,79.60,83,-160.0,-160.0,-160.0,,127.5,132.5,-138.0,132.5,225.0,-235.0,235.0,235.0,,DQ,M,Raw,SBD
Simeon Kalcut,,MR-Jr,90.10,93,180.0,190.0,-195.0,190.0,107.5,-112.5,-115.0,107.5,185.0,200.0,-205.0,200.0,497.5,1,M,Raw,SBD
Adam Williams,,MR-Jr,114.60,120,170.0,180.0,190.0,190.0,95.0,105.0,115.0,115.0,190.0,210.0,-227.5,210.0,515.0,1,M,Raw,SBD
Jonathon Pinder,,MR-Jr,125.50,120+,200.0,215.0,230.0,230.0,145.0,155.0,-167.5,155.0,210.0,225.0,237.5,237.5,622.5,1,M,Raw,SBD
Alex Fodor,,MR-O,73.80,74,205.0,217.5,227.5,227.5,130.0,137.5,142.5,142.5,240.0,255.0,265.0,265.0,635.0,1,M,Raw,SBD
Luke Dixon,,MR-O,72.80,74,187.5,200.0,-205.0,200.0,117.5,125.0,130.0,130.0,205.0,220.0,227.5,227.5,557.5,2,M,Raw,SBD
Luke Dufill,,MR-O,80.80,83,185.0,195.0,205.0,205.0,125.0,132.5,137.5,137.5,245.0,257.5,-262.5,257.5,600.0,1,M,Raw,SBD
Tom Gee,,MR-O,89.60,93,200.0,210.0,215.0,215.0,130.0,135.0,140.0,140.0,270.0,-285.0,,270.0,625.0,1,M,Raw,SBD
Tom Freeston,,MR-O,90.40,93,202.5,210.0,217.5,217.5,130.0,135.0,140.0,140.0,225.0,235.0,242.5,242.5,600.0,2,M,Raw,SBD
Scott Sharpe,,MR-O,91.50,93,182.5,192.5,195.0,195.0,112.5,117.5,122.5,122.5,187.5,202.5,210.0,210.0,527.5,3,M,Raw,SBD
Matt Wood,,MR-O,90.10,93,160.0,165.0,167.5,167.5,95.0,100.0,107.5,107.5,190.0,200.0,205.0,205.0,480.0,4,M,Raw,SBD
Josh Nicklin,,MR-O,93.40,105,210.0,225.0,235.0,235.0,117.5,130.0,-135.0,130.0,240.0,252.5,260.0,260.0,625.0,1,M,Raw,SBD
Joe Barker,,MR-O,100.10,105,190.0,200.0,205.0,205.0,112.5,-120.0,125.0,125.0,212.5,225.0,230.0,230.0,560.0,2,M,Raw,SBD
Paul Nicholson,,MR-M1,80.90,83,110.0,-120.0,120.0,120.0,80.0,90.0,-100.0,90.0,145.0,-162.5,162.5,162.5,372.5,1,M,Raw,SBD
Paul Leatherland,,MR-M2,92.50,93,107.5,115.0,122.5,122.5,80.0,82.5,85.0,85.0,160.0,165.0,170.0,170.0,377.5,1,M,Raw,SBD
Paul Campbell,,M-O,74.00,74,250.0,260.0,270.0,270.0,162.5,167.5,172.5,172.5,250.0,260.0,-265.0,260.0,702.5,1,M,Single-ply,SBD
Aodhan Phillips,,M-O,73.90,74,220.0,-240.0,240.0,240.0,150.0,160.0,165.0,165.0,175.0,195.0,,195.0,600.0,2,M,Single-ply,SBD
Ian Ryan,,M-M1,118.60,120,280.0,300.0,-310.0,300.0,215.0,225.0,230.0,230.0,220.0,235.0,242.5,242.5,772.5,1,M,Single-ply,SBD
Amy Enever,,FR-Sj,94.3,84+,97.5,105,110,110,40,42.5,45,45,112.5,120,125,125,280,1,F,Raw,SBD
Jasmin Kaur,,FR-Jr,67.7,72,77.5,82.5,87.5,87.5,52.5,57.5,60,60,132.5,140,142.5,142.5,290,1,F,Raw,SBD
Francesca Cooke,,FR-Jr,65.6,72,67.5,72.5,77.5,77.5,27.5,30,-32.5,30,75,82.5,-90,82.5,190,2,F,Raw,SBD
