Name,Event,Equipment,Country,Sex,BirthDate,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place
Mariel Bertona,B,Raw,Argentina,F,1971-07-03,M-40/44,58.9,60,,,,,,90,95,-100,,95,,,,,,95,1
Carolina Fleita,B,Raw,Argentina,F,1992-09-09,Junior,63.35,67.5,,,,,,40,45,47.5,,47.5,,,,,,47.5,1
Leticia Bertotto,B,Raw,Argentina,F,1971-09-18,M-40/44,74.4,75,,,,,,100,110,-112.5,,110,,,,,,110,1
Valeria Agüero,B,Raw,Argentina,F,1961-09-15,M-50/54,68.5,75,,,,,,125,135,-141,,135,,,,,,135,1
Laura Tabera,B,Raw,Argentina,F,1975-12-23,Open,76,82.5,,,,,,60,65,-70,,65,,,,,,65,1
Mariela Ortellado,B,Raw,Argentina,F,1985-07-10,Open,93,100,,,,,,95,100,110,-115,110,,,,,,110,1
Martin San Felice,B,Raw,Argentina,M,,Especial,74,75,,,,,,-110,110,120,-130,120,,,,,,120,1
Federico Mansilla,B,Raw,Argentina,M,1988-12-17,Open,74,75,,,,,,127.5,-132.5,-132.5,,127.5,,,,,,127.5,2
Gabriel Delgado,B,Raw,Argentina,M,1981-09-19,Open,72.8,75,,,,,,130,-140,140,,140,,,,,,140,1
Gabriel Delgado,B,Raw,Argentina,M,1981-09-19,Submasters,72.8,75,,,,,,130,-140,140,,140,,,,,,140,1
Horacio Zoilo,B,Raw,Argentina,M,1941-11-17,M-75/79,78.6,82.5,,,,,,120,130,-135,,130,,,,,,130,1
David Zerpa,B,Raw,Argentina,M,1991-02-11,Open,77.8,82.5,,,,,,-100,-100,-100,,,,,,,,,DQ
Patricio Rodriguez,B,Raw,Argentina,M,1986-10-11,Open,80,82.5,,,,,,125,-130,130,,130,,,,,,130,1
Luis Alberto Martinez,B,Raw,Brazil,M,1973-03-04,Especial,82.5,82.5,,,,,,85,90,100,,100,,,,,,100,1
Jose Luis Cañizares,B,Raw,Argentina,M,1978-03-31,Open,87.7,90,,,,,,170,180,190,-200,190,,,,,,190,1
Jose Luis Cañizares,B,Raw,Argentina,M,1978-03-31,Submasters,87.7,90,,,,,,170,180,190,-200,190,,,,,,190,1
Walter Diaz,B,Raw,Argentina,M,1973-07-03,M-40/44,90,90,,,,,,140,160,-170,,160,,,,,,160,1
Rafael Leonardo Silva,B,Raw,Argentina,M,1969-09-14,M-45/49,83,90,,,,,,130,-150,150,,150,,,,,,150,2
Lucas Basualdo,B,Raw,Argentina,M,1981-02-20,Especial,89,90,,,,,,115,117.5,120,122.5,120,,,,,,120,1
Eduardo Mario Martinez,B,Raw,Argentina,M,1956-03-19,M-55/59,89.4,90,,,,,,70,80,-85,,80,,,,,,80,1
Jose Carambia,B,Raw,Argentina,M,1967-02-04,M-45/49,89.1,90,,,,,,140,155.5,-162.5,,155.5,,,,,,155.5,1
Jonatan Bolada,B,Raw,Argentina,M,1983-06-10,Open,99.2,100,,,,,,130,140,142.5,,142.5,,,,,,142.5,1
Fernando Gonzalez,B,Raw,Argentina,M,1973-07-18,M-40/44,93.8,100,,,,,,155,165,172.5,-180.5,172.5,,,,,,172.5,1
Julio Albarracin,B,Raw,Argentina,M,1969-05-06,M-45/49,92.7,100,,,,,,-125,125,135,,135,,,,,,135,1
Sebastian Mansilla,B,Raw,Argentina,M,1980-04-01,Open -,105.4,110,,,,,,125,135,-140,,135,,,,,,135,1
Walter Morales,B,Raw,Argentina,M,1972-06-04,M-40/44,106.3,110,,,,,,160,175,-188,,175,,,,,,175,1
Sergio Gayoso,B,Raw,Argentina,M,1961-04-17,M-50/54,107.5,110,,,,,,130,142.5,152.5,,152.5,,,,,,152.5,1
Victor Quispe,B,Raw,Argentina,M,1970-09-27,M-45/49,108,110,,,,,,140,150,-157.5,,150,,,,,,150,1
Cristian Gutierrez,B,Raw,Argentina,M,1979-04-03,Open,116,125,,,,,,215,-225,-225,,215,,,,,,215,1
Cristian Gutierrez,B,Raw,Argentina,M,1979-04-03,Submasters,116,125,,,,,,215,-225,-225,,215,,,,,,215,1
Carlos Campos,B,Raw,Argentina,M,1965-10-02,M-50/54,117.4,125,,,,,,130,140,,,140,,,,,,140,1
Irlei Felipe,B,Raw,Brazil,M,1970-05-12,M-45/49,114.5,125,,,,,,170,180,-190,-190,180,,,,,,180,1
Serafin Rocha,B,Raw,Brazil,M,1948-04-27,M-65/69,115.5,125,,,,,,110,120,125,-130.5,125,,,,,,125,1
Gonzalo Iriarte,B,Raw,Argentina,M,1980-02-13,Open,147,140+,,,,,,180,-200,,,180,,,,,,180,1
Gonzalo Iriarte,B,Raw,Argentina,M,1980-02-13,Submasters,147,140+,,,,,,180,-200,,,180,,,,,,180,1
Mariel Bertona,D,Raw,Argentina,F,1971-07-03,M-40/44,58.9,60,,,,,,,,,,,150,160,-167.5,,160,160,1
Andressa Gomes De Lima,D,Raw,Brazil,F,1990-04-27,Open,59.5,60,,,,,,,,,,,160,170,175,-180,175,175,1
Carolina Fleita,D,Raw,Argentina,F,1992-09-09,Junior,63.35,67.5,,,,,,,,,,,95,100,105,,105,105,1
