Place,Name,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment
1,Jetsy Werleman,51.4,95.00,-100.00,,95.00,52.50,-57.50,-57.50,52.50,125.00,-132.50,-132.50,125.00,272.50,52.00,Open,SBD,F,Raw
2,Linde Heerkens,52.0,87.50,-92.50,-92.50,87.50,-47.50,50.00,55.00,55.00,120.00,-125.00,-127.50,120.00,262.50,52.00,Open,SBD,F,Raw
3,Carolien Schouten,50.6,55.00,60.00,65.00,65.00,42.50,-47.50,-47.50,42.50,70.00,75.00,80.00,80.00,187.50,52.00,Open,SBD,F,Raw
1,Christine Rebello,56.7,115.00,122.50,127.50,127.50,65.00,70.00,72.50,72.50,145.00,155.00,165.00,165.00,365.00,57.00,Open,SBD,F,Raw
2,Veerle van Leemput,55.2,97.50,102.50,105.00,105.00,65.00,67.50,-70.00,67.50,132.50,137.50,140.00,140.00,312.50,57.00,Open,SBD,F,Raw
3,Solange Tjon-A-tjoen,56.2,105.00,110.00,112.50,112.50,55.00,-60.00,-60.00,55.00,112.50,122.50,130.00,130.00,297.50,57.00,Open,SBD,F,Raw
4,Jolene Bock,56.6,97.50,100.00,102.50,102.50,60.00,62.50,-65.00,62.50,110.00,117.50,120.00,120.00,285.00,57.00,Open,SBD,F,Raw
5,Manoe Ossel,55.5,90.00,95.00,-100.00,95.00,50.00,55.00,57.50,57.50,105.00,112.50,117.50,117.50,270.00,57.00,Open,SBD,F,Raw
1,Colette Haddon,62.4,137.50,142.50,147.50,147.50,75.00,80.00,-82.50,80.00,160.00,170.00,175.00,175.00,402.50,63.00,Open,SBD,F,Raw
2,Lise Goldman,61.9,127.50,132.50,140.00,140.00,72.50,77.50,-80.00,77.50,137.50,147.50,155.00,155.00,372.50,63.00,Open,SBD,F,Raw
3,Esmee Dijjers,62.5,120.00,-127.50,-127.50,120.00,70.00,72.50,-75.00,72.50,165.00,170.00,177.50,177.50,370.00,63.00,Open,SBD,F,Raw
4,Aysun Cakmak,60.8,130.00,132.50,-135.00,132.50,72.50,75.00,-77.50,75.00,-160.00,160.00,-162.50,160.00,367.50,63.00,Open,SBD,F,Raw
5,Mylene van der Spek,59.3,125.00,132.50,-137.50,132.50,67.50,-72.50,72.50,72.50,142.50,150.00,-160.00,150.00,355.00,63.00,Open,SBD,F,Raw
6,Kelsey Koffijberg,62.4,130.00,135.00,-137.50,135.00,75.00,77.50,80.00,80.00,125.00,130.00,135.00,135.00,350.00,63.00,Open,SBD,F,Raw
7,Lana Hooiveld,62.7,115.00,-120.00,-120.00,115.00,75.00,-80.00,80.00,80.00,145.00,150.00,155.00,155.00,350.00,63.00,Open,SBD,F,Raw
8,Janneke Brauckman,61.9,105.00,115.00,-125.00,115.00,77.50,82.50,-85.00,82.50,125.00,135.00,142.50,142.50,340.00,63.00,Open,SBD,F,Raw
9,Tessa Ophoff,62.4,115.00,120.00,-122.50,120.00,62.50,-67.50,-67.50,62.50,140.00,147.50,157.50,157.50,340.00,63.00,Open,SBD,F,Raw
10,Laura Hooijberg,62.5,107.50,112.50,115.00,115.00,67.50,70.00,-72.50,70.00,140.00,147.50,150.00,150.00,335.00,63.00,Open,SBD,F,Raw
11,Yvette van de Boomen,62.1,110.00,115.00,120.00,120.00,65.00,-67.50,67.50,67.50,130.00,140.00,-145.00,140.00,327.50,63.00,Open,SBD,F,Raw
12,Jirmeja Wijngaarde,62.5,95.00,102.50,110.00,110.00,65.00,67.50,-70.00,67.50,125.00,130.00,135.00,135.00,312.50,63.00,Open,SBD,F,Raw
