Name,WeightClassKg,Sex,Event,Equipment,BirthYear,Division,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place
Artūrs Grišenko,29,M,BD,Raw,2002,Junior,25.4,,,,,,10,11,12,,12,15,16,17,,17,29,2
Daniels Ivanovs,29,M,BD,Raw,2003,Junior,22.6,,,,,,10,11,12,,12,13,14,15,,15,27,3
Artjoms Grišenko,29,M,BD,Raw,2002,Junior,28.4,,,,,,20,21,22,,22,26,27,28,,28,50,1
Renāts Čerņavskis,33,M,BD,Raw,2002,Junior,32.4,,,,,,23,-24,24,,24,26,28,-30,,28,52,2
Dilans Kabajevs,33,M,BD,Raw,2001,Junior,30.7,,,,,,14,15,-16,,15,16,18,20,,20,35,5
Dairis Tropiņš,33,M,BD,Raw,1999,Junior,31.5,,,,,,-25,-25,26,,26,-36,-36,,,,,DQ
Aivars Domašius,33,M,BD,Raw,1998,Junior,32.3,,,,,,20,-22,22,,22,-28,28,29,,29,51,3
Pāvils Mertens,33,M,BD,Raw,1999,Junior,32.6,,,,,,21,22,-23,,22,28,29,-30,,29,51,4
Armands Mežinskis,37,M,BD,Raw,2000,Junior,35.1,,,,,,22,24,26,,26,30,33,35,,35,61,1
Ārons Mertens,37,M,BD,Raw,1998,Junior,36.9,,,,,,18,19,20,,20,25,26,27,,27,47,3
Edgars Kalniņš,37,M,BD,Raw,1998,Junior,35.8,,,,,,21,23,24,,24,29,30,31,,31,55,2
Vladimirs Kobajevs,41,M,BD,Raw,1999,Junior,35.8,,,,,,-24,24,25,,25,29,-31,31,,31,56,2
Edijs Meļķis,41,M,BD,Raw,1998,Junior,37.3,,,,,,30,-33,33,,33,40,43,45,,45,78,1
Ritvars Suharevs,45,M,BD,Raw,1999,Junior,42,,,,,,-50,-50,50,,50,-65,65,68,,68,118,1
Vaivars Tropiņš,45,M,BD,Raw,1997,Junior,43.6,,,,,,35,-37,37,,37,45,47,50,,50,87,2
