Name,Sex,Event,WeightClassLBS,Equipment,Squat1LBS,Squat2LBS,Squat3LBS,BestSquatLBS,Bench1LBS,Bench2LBS,Bench3LBS,BestBenchLBS,Deadlift1LBS,Deadlift2LBS,Deadlift3LBS,BestDeadliftLBS,TotalLBS
Keith Borque,M,SBD,114,Single-ply,369,402,418,418,192,209,215,215,402,418,429,429,1062
Joe Catalfamo,M,SBD,114,Single-ply,363,385,-396,385,231,248,253,253,385,413,-424,413,1051
Doan Nguyen,M,SBD,114,Single-ply,396,-424,-424,396,220,237,-248,237,396,418,-424,418,1051
Henry Garcia,M,SBD,114,Single-ply,385,-413,-413,385,209,226,-231,226,391,413,-424,413,1024
Doug McDonald,M,SBD,114,Single-ply,-385,-385,385,385,297,319,-325,319,286,-303,-303,286,990
Dave Osborn,M,SBD,114,Single-ply,325,374,402,402,226,237,-242,237,314,347,-363,347,986
Roger Thompson,M,SBD,114,Single-ply,-270,270,308,308,170,187,-192,187,429,-462,-462,429,924
Brett Bozelli,M,SBD,114,Single-ply,314,-330,-330,314,237,-253,-253,237,374,-391,-391,374,925
Bob Schlegel,M,SBD,114,Single-ply,325,-347,347,347,170,181,187,187,352,369,-391,369,903
Steve Soukup,M,SBD,114,Single-ply,-292,292,-325,292,209,-220,-220,209,325,-352,-352,325,826
J. McCulley,M,SBD,114,Single-ply,352,374,-396,374,-275,-275,-275,,,,,,DQ
Miguel Castro,M,SBD,114,Single-ply,-303,-336,-336,,,,,,,,,,DQ
Herb Blake,M,SBD,123,Single-ply,429,462,473,473,242,259,264,264,462,490,501,501,1238
Andy Giannino,M,SBD,123,Single-ply,369,385,-402,385,231,242,253,253,446,473,-501,473,1111
Kevin Clemens,M,SBD,123,Single-ply,413,440,-457,440,220,231,-237,231,369,-380,385,385,1056
Steve Snyder,M,SBD,123,Single-ply,358,-380,380,380,203,220,231,231,407,435,-446,435,1046
Dave Weiss,M,SBD,123,Single-ply,330,352,-369,352,242,-253,-253,242,391,418,-424,418,1012
Todd Suttles,M,SBD,132,Single-ply,473,490,-507,490,308,325,-341,325,512,540,-556,540,1355
Ken Westbrook,M,SBD,132,Single-ply,462,534,-562,534,226,237,248,248,462,490,501,501,1283
Brad Olson,M,SBD,132,Single-ply,462,-479,479,479,264,275,-286,275,-462,462,-479,462,1216
Anthony Pallas,M,SBD,132,Single-ply,407,440,-446,440,237,242,-248,242,407,451,-479,451,1133
Kim Do,M,SBD,132,Single-ply,-413,424,-451,424,226,242,-253,242,407,435,-446,435,1101
Paul Woo,M,SBD,132,Single-ply,330,358,363,363,237,253,259,259,413,451,457,457,1079
Joe Johnson,M,SBD,132,Single-ply,380,413,-418,413,226,-237,,226,-424,424,-451,424,1063
Mike Stein,M,SBD,132,Single-ply,363,-407,-407,363,231,253,-259,253,358,407,-451,407,1023
Tim Borgia,M,SBD,132,Single-ply,-429,-429,-429,,,,,,,,,,DQ
Ray Benemerito,M,SBD,148,Single-ply,540,573,-584,573,330,-341,-341,330,573,600,-619,600,1503
