Place,Division,WeightClassKg,Name,Country,BirthDate,BodyweightKg,Best3SquatKg,Best3BenchKg,Bench4Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Event,Equipment,Sex
1,Open,44,Wei-Ling Chen,Taiwan,04/01/1982,43.52,130,62.5,,160,,352.5,SBD,Single-ply,F
2,Open,44,Supekha Sadashiv Naik,India,17/11/1978,42.24,50,30,,70,,150,SBD,Single-ply,F
1,Open,48,Kuran-Ting Chen,Taiwan,07/01/1977,47.78,167.5,97.5,,162.5,,427.5,SBD,Single-ply,F
2,Open,48,Fukushima Yukako,Japan,06/06/1970,47.14,145,120,,150,,415,SBD,Single-ply,F
3,Open,48,Tanaka Shoko,Japan,06/08/1964,47.52,110,65,,130,,305,SBD,Single-ply,F
1,Juniors,48,Renuka CH.V.S.N.L,India,09/07/1979,47.44,135,67.5,,150,,352.5,SBD,Single-ply,F
1,Sub-Juniors,48,Setowati Y,Indonesia,28/06/1984,48,140,91,93,157.5,,388.5,SBD,Single-ply,F
1,Open,52,Yi-Ju Chou,Taiwan,25/06/1980,50.04,150,70,,185,,405,SBD,Single-ply,F
2,Open,52,Kikuiri Hiroko,Japan,22/12/1949,51.5,115,67.5,,160,,342.5,SBD,Single-ply,F
3,Open,52,Satam Nisha Manohar,India,26/10/1968,50.6,115,62.5,,127.5,,305,SBD,Single-ply,F
4,Open,52,Rani Babita,India,20/05/1978,48.32,120,45,,137.5,,302.5,SBD,Single-ply,F
1,Juniors,52,Marlina,Indonesia,20/04/1979,52,173,105,108,155,,432.5,SBD,Single-ply,F
2,Juniors,52,Tejaswini Badeti,India,09/12/1979,51.98,152.5,90,,157.5,,400,SBD,Single-ply,F
3,Juniors,52,Shao-Mei Hsieh,Taiwan,29/09/1982,50.32,135,62.5,,142.5,,340,SBD,Single-ply,F
4,Juniors,52,Irin B,India,01/08/1980,49.04,132.5,42.5,,150,,325,SBD,Single-ply,F
1,Sub-Juniors,52,Garade Mukta,India,10/07/1984,51.66,90,40,,105,,235,SBD,Single-ply,F
1,Open,56,Shu-Ting Lin,Taiwan,25/10/1977,54.22,140,80,,162.5,,382.5,SBD,Single-ply,F
2,Open,56,Noguchi Chiaki,Japan,19/07/1967,54,110,72.5,,140,,322.5,SBD,Single-ply,F
3,Open,56,Wing-Yuk Ip,Hong Kong,11/11/1961,54.28,85,52.5,,115,,252.5,SBD,Single-ply,F
1,Juniors,56,Chien-Yu Chou,Taiwan,01/07/1982,55.78,115,87.5,,165,,367.5,SBD,Single-ply,F
2,Juniors,56,Tiwari Poonam,India,03/11/1980,55.02,140,50,,140,,330,SBD,Single-ply,F
1,Open,60,Nadejda Malyugina,Uzbekistan,03/03/1979,59.02,200,90,,190,,480,SBD,Single-ply,F
1,Juniors,60,Nadejda Malyugina,Uzbekistan,03/03/1979,59.02,200,90,,190,,480,SBD,Single-ply,F
