Place,Name,Sex,Equipment,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event
1,Roxie Zhu,F,Raw,Open,56.3,57,90,97.5,105,105,50,55,-60,55,110,117.5,-125,117.5,277.5,SBD
2,Michelle Ortega,F,Raw,Open,55.4,57,85,90,-95,90,50,-55,-55,50,110,117.5,-120,117.5,257.5,SBD
3,Lottie Lumbers,F,Raw,Open,54.4,57,60,67.5,-72.5,67.5,35,-40,-40,35,75,82.5,90,90,192.5,SBD
1,Isabelle Lam,F,Raw,Open,61.4,63,125,132.5,137.5,137.5,60,67.5,70.5,70.5,137.5,142.5,-150,142.5,350.5,SBD
2,Louise Jones,F,Raw,Open,62,63,100,107.5,112.5,112.5,55,57.5,60,60,115,125,132.5,132.5,305,SBD
3,Ella Hibbs-Newman,F,Raw,Open,62.4,63,85,90,95,95,55,60,-65,60,105,110,115,115,270,SBD
4,Victoria Hobbs,F,Raw,Open,62.6,63,-90,-90,90,90,50,55,-57.5,55,110,117.5,-120,117.5,262.5,SBD
5,Sarah Glover,F,Raw,Open,60.2,63,80,85,90,90,37.5,42.5,-47.5,42.5,90,95,100,100,232.5,SBD
6,Catherine Rust,F,Raw,Open,62.4,63,70,75,-80,75,35,40,-45,40,85,92.5,97.5,97.5,212.5,SBD
1,Kelly Beaumont,F,Raw,Open,70,72,112.5,117.5,122.5,122.5,52.5,57.5,60,60,125,132.5,140,140,322.5,SBD
2,Niamh Underhill,F,Raw,Open,69,72,90,97.5,102.5,102.5,50,55,-60,55,100,112.5,-122.5,112.5,270,SBD
1,Milly Stonely,F,Raw,Open,90.5,84+,105,112.5,116,116,57.5,63,67.5,67.5,115,125,132.5,132.5,316,SBD
1,Yassar Rana,M,Raw,Open,62.9,66,135,145,155,155,80,90,95,95,190,202.5,210.5,210.5,460.5,SBD
2,Steven Harvey,M,Raw,Open,64.2,66,147.5,157.5,-164,157.5,87.5,92.5,-97.5,92.5,160,-167.5,-167.5,160,410,SBD
1,Daniel Taylor,M,Raw,Open,72.7,74,145,152.5,160,160,102.5,110,115,115,180,190,197.5,197.5,472.5,SBD
2,Kai Collins,M,Raw,Open,73.9,74,145,155,160,160,117.5,122.5,127.5,127.5,165,177.5,185,185,472.5,SBD
3,Ben Hillyard,M,Raw,Open,72.3,74,135,140,145,145,102.5,107.5,-110,107.5,170,182.5,190,190,442.5,SBD
4,Evan Daniels,M,Raw,Open,68.2,74,120,130,135,135,77.5,-80,-80,77.5,160,162.5,-167.5,162.5,375,SBD
1,Anujan Srikantha,M,Raw,Open,81,83,205,217.5,-227.5,217.5,175,182.5,-190,182.5,200,-212.5,220,220,620,SBD
2,Cyrus Khine,M,Raw,Open,76.2,83,205,210,215,215,107.5,112.5,117.5,117.5,225,-237.5,237.5,237.5,570,SBD
3,Harrison Sparks,M,Raw,Open,82.9,83,172.5,180,-187.5,180,147.5,152.5,-157.5,152.5,-200,-200,205,205,537.5,SBD
4,Aji Shotayo,M,Raw,Open,79.3,83,145,155,160,160,115,125,132.5,132.5,210,225,237.5,237.5,530,SBD
5,Joshua McGovern,M,Raw,Open,78.6,83,175,182.5,190,190,110,115,-120,115,205,215,222.5,222.5,527.5,SBD
6,Skyler Benton,M,Raw,Open,76,83,165,175,182.5,182.5,102.5,110,115,115,-190,200,215,215,512.5,SBD
7,Josh New,M,Raw,Open,81.3,83,155,162.5,167.5,167.5,115,122.5,125,125,195,202.5,210,210,502.5,SBD
8,Rafael Evangelista,M,Raw,Open,78.6,83,165,175,180,180,85,95,97.5,97.5,195,207.5,217.5,217.5,495,SBD
9,Matthew Thomas,M,Raw,Open,82.2,83,150,162.5,-167.5,162.5,87.5,92.5,-97.5,92.5,182.5,195,200,200,455,SBD
10,Joseph Jakubait,M,Raw,Open,82,83,170,-180,-180,170,85,-90,-90,85,-190,190,195,195,450,SBD
11,Thomas Smith,M,Raw,Open,81.5,83,145,-152.5,152.5,152.5,80,85,90,90,180,190,200,200,442.5,SBD
12,Aidan McCarthy-Boxer,M,Raw,Open,78.8,83,-150,150,160,160,90,95,100,100,170,175,180,180,440,SBD
1,Charlie Clements,M,Raw,Open,92.5,93,235,252.5,260,260,132.5,140,-145,140,260,277.5,-287.5,277.5,677.5,SBD
2,Thomas Festa,M,Raw,Open,87.3,93,227.5,240,250,250,125,-132.5,135,135,275,290,-300,290,675,SBD
3,Stephen Liu Zhao Ming,M,Raw,Open,87.1,93,220,232.5,240,240,107.5,112.5,117.5,117.5,245,260,270,270,627.5,SBD
4,Derek Guo,M,Raw,Open,83.9,93,175,185,200,200,112.5,122.5,127.5,127.5,230,245,255,255,582.5,SBD
5,Max Benford,M,Raw,Open,88,93,180,192.5,-197.5,192.5,147.5,-155,155,155,207.5,215,222.5,222.5,570,SBD
6,Matthew Bingham,M,Raw,Open,89.3,93,165,175,182.5,182.5,127.5,137.5,142.5,142.5,207.5,220,230,230,555,SBD
7,Aaron Pearson,M,Raw,Open,83.8,93,172.5,180,187.5,187.5,112.5,120,125,125,210,220,227.5,227.5,540,SBD
8,Sam Taylor,M,Raw,Open,88.3,93,170,180,190,190,117.5,127.5,-130,127.5,210,222.5,-232.5,222.5,540,SBD
9,Aleksander Kolodziejczyk,M,Raw,Open,91.5,93,165,175,177.5,177.5,130,137.5,140,140,175,190,200,200,517.5,SBD
10,Harvey Dodds,M,Raw,Open,89.3,93,175,182.5,-190,182.5,100,105,-110,105,205,217.5,-230,217.5,505,SBD
11,Sam Davies,M,Raw,Open,86.3,93,172.5,180,-190,180,110,-115,115,115,175,195,205,205,500,SBD
