28-Feb-15,,,,,,,,,,APF Utah State Championships,,,,,,,,,
,,,Additional,BWt,WtCls,Glossbren,Squat,Squat,Squat,Bench,Bench,Bench,Deadlift,Deadlift,Deadlift,,,American,
Name,Age,Div,Divisions,(Lb),(Lb),ner,1,2,3,1,2,3,1,2,3,Total,Best Lifter,Record,Events
Devon Parcell,35,M-SM2R,"OR,ORT,SMT",192.5,198,0.6226,170,185,-190,137.5,-145,145,205,-220,-220,535,,,PL
Joshua Warnock,39,M-SM2T,,210,220,0.594,142.5,177.5,187.5,105,-117.5,-117.5,182.5,205,227.5,497.5,,,PL
Jason Jardine,35,M-SM2T,,217.5,220,0.5846,150,160,180,80,95,100,195,220,230,510,,,PL
Erik Rasmussen,39,M-SM2T,M-SM2,194,198,0.6197,-205,-205,-205,,,,205,215,232.5,,,,"PL, DL"
Andrew Peterson,35,M-SM2R,,203.5,220,0.6037,190,197.5,207.5,182.5,-190,-190,227.5,-232.5,-232.5,617.5,M-SubM,,PL
Ryan Marble,28,M-OST,,188.5,198,0.6304,-260,260,-275,-215,215,-235,237.5,-250,-250,712.5,M-SinglePly,PL,PL
Jake Jensen,25,M-OST,,238,242,0.5655,-272.5,-272.5,272.5,-185,-185,-185,275,282.5,-295,,,,"PL, DL"
Chris McGrail,36,M-OS,,183,198,0.6421,-355,-355,-355,,,,272.5,295,-320,,,,"PL, DL"
Jay Anderson,36,M-SMST,M-SMS,258.5,275,0.5538,,,,257.5,-272.5,-272.5,,,,,,BP,BP
Leora Novosel,8,F-Nov,,50,,#N/A,,,,,,,35,45,-47.5,,,,DL
Rebekah Williams,24,F-Nov,,104.5,105,1.1904,-65,65,-67.5,-35,35,-37.5,70,75,85,175,,,PL
Eleesha Commi Chaux,30,M-Nov,,129,132,0.8538,50,55,65,32.5,-37.5,-40,77.5,87.5,92.5,190,W-Novice,,PL
Heidi Campo,25,F-ORT,,135,148,0.9721,70,90,-92.5,-52.5,-52.5,-52.5,80,92.5,102.5,,,,"PL, DL"
Christine Isom,25,F-ORT,,119,123,1.0748,72.5,80,-87.5,50,-55,-57.5,90,100,-110,230,,,PL
Lacie Helfert,24,M-Nov,,155,165,0.7237,-102.5,-102.5,102.5,52.5,62.5,77.5,97.5,110,-127.5,290,,,PL
Anneke Cannon,23,M-Nov,,124,132,0.8893,90,97.5,-105,-62.5,-62.5,-62.5,102.5,115,127.5,,,,"PL, DL"
Chans Peterson,15,M-T4RT,,134,148,0.8223,,,,,,,115,125,-137.5,,,DL,DL
Joshua Wartena,24,M-Nov,,144,148,0.7702,85,92.5,-97.5,65,-70,-70,120,125,137.5,295,,,PL
Daniel Jacob Clark,19,M-T3RT,,164.5,165,0.6913,110,145,-147.5,102.5,107.5,-115,125,142.5,152.5,405,,,PL
Vy Phung,22,F-JRT,,220,SHW,0.7162,120,-130,137.5,57.5,67.5,77.5,147.5,155,167.5,382.5,,,PL
Gatlin Cole Marks,22,M-JRT,,160.5,165,0.7042,135,-147.5,-150,102.5,-115,-115,165,177.5,182.5,420,,,PL
Anthony Campo,19,M-T3RT,,172,181,0.6694,175,-185,-185,115,-122.5,-122.5,177.5,185,192.5,482.5,,,PL
Ulises Juarez,28,M-Nov,,193.5,198,0.6205,165,175,-185,112.5,125,130,207.5,227.5,237.5,542.5,,,PL
Brett Cutler,23,M-JRT,,220.5,242,0.5813,205,220,227.5,135,-147.5,-147.5,210,227.5,240,602.5,,,PL
Colton Visser,20,M-JRT,M-ORT,192.5,198,0.7604,200,-212.5,-212.5,140,145,-150,235,245,255,600,,,PL
Jennifer Parcell,38,F-M2RT,,174,181,0.8089,77.5,-92.5,92.5,32.5,47.5,-52.5,70,90,102.5,242.5,,,PL
Danielle Thomas,25,F-Nov,,188,198,0.7709,,,,,,,90,97.5,-102.5,,,,DL
Brittanie Meinzer,26,F-OR,F-ORT,157.5,165,0.8645,70,80,-90,47.5,55,-60,107.5,120,135,270,,,PL
My Nassan,25,F-OR,,126,132,1.0263,115,120,-127.5,62.5,-67.5,67.5,120,130,137.5,325,Women Raw,PL,PL
Lynndsey Eldridge,27,F-OR,,132,132,0.9889,87.5,92.5,97.5,62.5,65,-67.5,130,135,-140,297.5,,,PL
Richard Weaver,48,,,178.5,,0.6524,100,127.5,-132.5,87.5,95,-100,137.5,147.5,160,382.5,,,PL
Staci Doi,29,,,193.5,,0.6205,-125,-125,125,55,60,-67.5,145,152.5,-160,337.5,,,PL
Kevin McKinney,48,M-M2RT,,235.5,242,0.5675,,,,,,,150,155,165,,,,DL
Quincey Pearce,39,F-OR,,154.5,165,0.8756,120,-127.5,-137.5,77.5,82.5,-87.5,152.5,160,172.5,375,,PL,PL
Wayne Gwyn,40,M-M1RT,M-M1R,237.5,242,0.566,135,145,-160,-85,-95,95,175,180,187.5,,,,"PL, DL"
Dennis  Young,52,M-M3R,,216.5,220,0.5859,,,,,,,185,197.5,215,,,DL,DL
Zach Hallford,18,M-T3R,,194,198,0.6197,207.5,217.5,227.5,125,132.5,142.5,205,217.5,227.5,597.5,Men Raw,PL,PL
Bronson Anderson,26,M-Nov,,284.5,308,0.5413,185,-230,272.5,175,207.5,232.5,230,272.5,-320,777.5,M-Novice,,
Kevin Nieznanski,51,M-SMST,M-SMS,236,242,0.5671,-227.5,-227.5,-227.5,,,,,,,,,,PL
