Name,State,Sex,Event,Age,Division,BodyweightLBS,WeightClassLBS,Squat1Kg,SquatKg,Squat3Kg,Squat4Kg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,TotalKg,,,,,
Dennise Larios,AZ,F,SBD,,Submasters 35-39,95.1,97,37.5,40,-42.5,,27.5,30,-32.5,,,80,90,97.5,,167.5,,,,,
Rocky Luedeker,AZ,F,SBD,,Masters 60-64,94.6,97,22.5,27.5,40,,22.5,27.5,32.5,,,25,47.5,,,120,,,,,
Chloe Eckard,AZ,F,SBD,,Youth 12-13,105,105,45,50,52.5,,25,27.5,-30,,,57.5,60,62.5,,142.5,,,,,
Roxanne Chance,AZ,F,SBD,,Masters 60-64,100.1,105,45,47.5,-50,,30,-35,-35,,,65,70,72.5,,150,,,,,
Bianca Luedeker,AZ,F,SBD,,Open,112.2,114,82.5,87.5,-90,,62.5,65,-67.5,,,125,130,-135,,282.5,,,,,
Maria Kitterhagen,AZ,F,SBD,,Juniors 20-24,125.7,132,67.5,75,40,,-45,-45,115,,,115,127.5,242.5,,,,,,,
Elizabeth Seeber,AZ,F,SBD,,Open,141.5,148,70,72.5,77.5,,37.5,42.5,-45,,,107.5,112.5,120,,240,,,,,
Lydia Crain,AZ,F,SBD,,Masters 45-49,148.6,148,52.5,55,-60,,-42.5,42.5,45,,,95,102.5,-105,,202.5,,,,,
Lu Ann Posey,AZ,F,SBD,,Masters 60-64,142.6,148,42.5,47.5,52.5,,32.5,35,37.5,,,82.5,87.5,92.5,,182.5,,,,,
Pamela Ferree,AZ,F,SBD,,Masters 50-54,163.1,165,-95,95,,,47.5,-50,-50,,,140,145,-150,,287.5,,,,,
Deana Tollertson,AZ,F,SBD,,Open,157.5,165,120,125,130,,72.5,75,-775,,,125,132.5,140,,345,,,,,
Linda Kubiak,AZ,F,SBD,,Masters 50-54,182.3,198,92.5,97.5,102.5,,52.5,55,57.5,,,125,135,-140,,295,,,,,
Andrea Johnson,AZ,F,SBD,,Open,269.6,198+,-90,90,-95,,,,,,,82.5,97.5,97.5,,187.5,,,,,
Sheri Hurd,AZ,F,SBD,,Open,240.2,198+,-80,80,85,,62.5,67.5,-70,,,100,110,115,,267.5,,,,,
Sheri Hurd,AZ,F,SBD,,Masters 40-44,240.2,198+,-80,80,85,,62.5,67.5,-70,,,100,110,115,,267.5,,,,,
Sam Hancock,AZ,M,SBD,,8-9,52,66,30,32.5,35,,20,-22.5,22.5,,,40,45,47.5,,105,,,,,
Michael Kahan,AZ,M,SBD,,Open,98.9,105,52.5,-60,60,62.5,52.5,55,57.5,,,100,-110,-110,,217.5,,,,,
Michael Kahan,AZ,M,SBD,,Masters 50-54,98.9,105,52.5,-60,60,62.5,52.5,55,57.5,,,100,-110,-110,,217.5,,,,,
Jerry Trubman,AZ,M,SBD,,Submasters 35-39,144.9,148,122.5,132.5,135,,-87.5,87.5,-90,,,142,150,-160,,372.5,,,,,
Mathew Brey,AZ,M,SBD,,Teen 16-17,153,165,95,-100,-100,,80,85,-90,,,125,-130,135,,315,,,,,
Leonel Jimenez,AZ,M,SBD,,Teen 18-19,161.8,165,142.5,150,155,,-975,97.5,-100,,,150,165,172.5,,425,,,,,
Lee Luedeker,AZ,M,SBD,,Masters 65-69,154.6,165,105,112.5,117.5,,97.5,100,105,-107.5,,165,180,185,,407.5,,,,,
