Place,Name,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,WeightClassKg,Sex,CyrillicName,BirthYear,Equipment,Event,Division
1,Butkevych Svitlana,46.20,67.5,40,92.5,200,47,F,Буткевич Світлана,1986,Single-ply,SBD,Open
1,Kravchuk Olha,49.60,62.5,40,80,182.5,52,F,Кравчук Ольга,1995,Single-ply,SBD,Open
2,Karpii Yana,48.65,52.5,27.5,70,150,52,F,Карпій Яна,1997,Single-ply,SBD,Open
1,Sanzharovska Albina,54.30,80,45,105,230,57,F,Санжаровська Альбіна,1994,Single-ply,SBD,Open
2,Tykhnevych Iryna,55.6,75,55,97.5,227.5,57,F,Тихневич Ірина,1992,Single-ply,SBD,Open
1,Lytvynenko Tetiana,60.2,77.5,35,92.5,205,63,F,Литвиненко Тетяна,1996,Single-ply,SBD,Open
1,Mokrukha Liudmyla,69.25,122.5,60,125,307.5,72,F,Мокруха Людмила,1993,Single-ply,SBD,Open
1,Ivanova Tetiana,74.8,80,42.5,92.5,215,84,F,Іванова Тетяна,1996,Single-ply,SBD,Open
1,Stetsiuk Yurii,54.80,147.5,75,150,372.5,59,M,Стецюк Юрій,1999,Single-ply,SBD,Open
2,Myronets Andrii,58.90,115,70,142.5,327.5,59,M,Миронець Андрій,1994,Single-ply,SBD,Open
3,Bonchuk Dmytro,57.1,110,80,135,325,59,M,Бончук Дмитро,1997,Single-ply,SBD,Open
4,Prudnichekov Viktor,52.6,75,65,125,265,59,M,Пруднічеков Віктор,1975,Single-ply,SBD,Open
1,Misko Taras,65.45,220,105,200,525,66,M,Місько Тарас,1993,Single-ply,SBD,Open
2,Krychylskyi Serhii,61.95,90,70,150,310,66,M,Кричильський Сергій,1998,Single-ply,SBD,Open
1,Hreshchuk Mykola,73.35,150,92.5,185,427.5,74,M,Грещук Микола,1995,Single-ply,SBD,Open
2,Honchar Pavlo,71.40,107.5,87.5,162.5,357.5,74,M,Гончар Павло,1996,Single-ply,SBD,Open
1,Korol Ivan,82,300,220,260,780,83,M,Король Іван,1993,Single-ply,SBD,Open
2,Savran Valentyn,83,250,210,240,700,83,M,Савран Валентин,1974,Single-ply,SBD,Open
3,Hutnikov Andrii,82.40,265,165,235,665,83,M,Гутніков Андрій,1991,Single-ply,SBD,Open
4,Biliuha Yurii,83,240,140,260,640,83,M,Білюга Юрій,1974,Single-ply,SBD,Open
5,Blakytnyi Viktor,82.25,200,160,242.5,602.5,83,M,Блакитний Віктор,1981,Single-ply,SBD,Open
6,Kolychev Oleksandr,81.35,155,92.5,155,402.5,83,M,Количев Олександр,1997,Single-ply,SBD,Open
1,Shvarz Vitaliy,85.25,260,190,220,670,93,M,Чорний Віталій,1991,Single-ply,SBD,Open
2,Barchuk Yevhenii,90.60,250,177.5,220,647.5,93,M,Барчук Євгеній,1987,Single-ply,SBD,Open
3,Diakiv Rostyslav,86.25,255,165,225,645,93,M,Дяків Ростислав,1993,Single-ply,SBD,Open
4,Poliukhovych Vadym,92.85,195,155,240,590,93,M,Полюхович Вадим,1987,Single-ply,SBD,Open
5,Shynkaruk Vitalii,90.15,200,140,192.5,532.5,93,M,Шинкарук Віталій,1987,Single-ply,SBD,Open
DQ,Huriichuk Yurii,93,200,120,-210,,93,M,Гурійчук Юрій,1989,Single-ply,SBD,Open
1,Poliukhovych Mykola,105,285,200,245,730,105,M,Полюхович Микола,1991,Single-ply,SBD,Open
2,Rymarchuk Andrii,100.30,260,172.5,247.5,680,105,M,Римарчук Андрій,1986,Single-ply,SBD,Open
3,Kytun Ivan,94.70,210,170,220,600,105,M,Китун Іван,1988,Single-ply,SBD,Open
1,Samosevych Oleksii,119.55,275,170,260,705,120,M,Самосевич Олексій,1980,Single-ply,SBD,Open
